"adverb","translation","mistakes"
"ab und zu","en ocasiones",11
"abends","por las tardes",10
"abwärts","hacia abajo",10
"allerdings","sin embargo",11
"am ehesten","lo más pronto",8
"am häufigsten","lo más frecuente",11
"am liebsten","lo más preferible",11
"am wohlsten","lo mejor",11
"ansonsten","por lo demás",11
"auch","también",11
"auch","también",11
"aufwärts","hacia arriba",11
"außen","fuera",10
"außerdem","además",11
"außerdem","además",11
"bald","pronto",10
"bald","pronto",11
"bergab","cuesta abajo",11
"bergauf","cuesta arriba",11
"da","ahí",11
"daher","por lo tanto",11
"daher","por lo tanto",13
"damals","entonces",11
"dann","luego",11
"darum","por ello",11
"darum","por eso",9
"deshalb","por ello",11
"deshalb","por eso",8
"deswegen","por eso",11
"deswegen","por lo tanto",11
"dienstags","los martes",11
"doch","pues",11
"donnerstags","los jueves",10
"dort","allí",10
"drittens","en tercer lugar",10
"ebenfalls","también",11
"eher","más pronto",11
"erstens","en primer lugar",10
"falls","caso que",11
"fast immer","casi siempre",9
"fast nie","casi nunca",10
"folglich","por lo tanto",11
"freitags","los viernes",10
"früher","antes",11
"gern","gustosamente",11
"gestern","ayer",11
"gleich","inmediatamente",11
"gleichfalls","igualmente",11
"heimwärts","hacia casa",11
"heute","hoy",10
"hier","aquí",11
"hingegen","por el contrario",11
"hinten","detrás",10
"häufig","frecuentemente",11
"immer","siempre",10
"innen","dentro",10
"jetzt","ahora",11
"jährlich","anualmente",10
"kaum","apenas",9
"lieber","preferiblemente",10
"links","a la izquierda",11
"manchmal","a veces",10
"meistens","la mayoría de las veces",11
"mittwochs","los miércoles",10
"monatlich","mensualmente",11
"montags","los lunes",10
"morgen","mañana",10
"morgens","por las mañanas",11
"nachmittags","después de comer",11
"nachts","por las noches",10
"nie","nunca",10
"nirgends","en ningún sitio",11
"nur","solamente",11
"nur","solo",11
"oben","arriba",11
"oft","frecuente",10
"oft","frecuentemente",11
"rechts","a la derecha",10
"rückwärts","hacia atrás",11
"samstags","los sábados",11
"sehr","muy",11
"selten","pocas veces",11
"so","así",11
"sofort","inmediatamente",10
"somit","así pues",11
"sonntags","los domingos",11
"sonst","si no",11
"später","más tarde",11
"trotzdem","no obstante",11
"täglich","diariamente",11
"unten","abajo",10
"vorgestern","antes de ayer",11
"vorn/vorne","delante",11
"vorwärts","hacia delante",11
"wann","cuándo",11
"warum","por qué",10
"wenigstens","al menos",10
"westwärts","hacia el oeste",11
"wie alt","cuántos años",11
"wie lange","cuánto tiempo",9
"wie oft","con qué frecuencia",9
"wie teuer","qué caro",10
"wie viel","cuánto",10
"wie weit","qué tan lejos",11
"wie","cómo",11
"wieso","cómo",10
"wo","dónde",10
"woher","de dónde",11
"wohin","hacia dónde",10
"wohl","bien",11
"wohler","mejor",11
"wöchentlich","semanalmente",10
"zudem","además",11
"zweitens","en segundo lugar",11
"öfter","más frecuente",11
"überall","en todas partes",11
"übermorgen","pasado mañana",11
"ungefähr","aproximadamente, más o menos",11
"von ungefähr","por casualidad",11

